AUX 4,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
No.,Punch No,System,Subsystem,Location / Area,Tag/Drawing/Line/Cable No.,Punch Description,Punch Category,Discipline,Action by,Originator,Issued Date,Closed Date,Punch Type,Note,Remarks,Submit to Owner,Punch Comment,File,RFI No,Report No.(Old),Target Date,Scope of Punch
.,27660,800.00,1304-12-17,Guard House - Aux (3C) (1000-GH-48),General,Lack of SAT inspection,C,HV,HEC HV Construction,Mr. Jerzy Wegner,2023-01-25,,Walkdown,,,,SCAN CAT,V,,,,RFC/RFSU
.,27661,800.00,1304-12-17,Guard House - Aux (3C) (1000-GH-48),General,Lack of Final Inspection - HVAC/Plumbng,C,HV,HEC HV Construction,Mr. Jerzy Wegner,2023-01-25,,Walkdown,,,,SCAN CAT,V,,,,RFC/RFSU
.,27662,800.00,1304-12-17,Guard House - Aux (3C) (1000-GH-48),General,Lack of Final Inspection - Fire Protection,C,HV,HEC HV Construction,Mr. Jerzy Wegner,2023-01-25,,Walkdown,,,,SCAN CAT,V,,,,RFC/RFSU
.,27663,800.00,1304-12-17,Guard House - Aux (3C) (1000-GH-48),General / PW installation ,Lack of PW Inside installation ,C,HV,HEC HV Construction,Mr. Jerzy Wegner,2023-01-25,2023-03-30,Walkdown,,,,SCAN CAT,V,,,,RFC/RFSU
.,27664,800.00,1304-12-17,Guard House - Aux (3C) (1000-GH-48),General / SD installation,Lack of SD Inside installation ,C,HV,HEC HV Construction,Mr. Jerzy Wegner,2023-01-25,2023-03-30,Walkdown,,,,SCAN CAT,V,,,,RFC/RFSU
.,27665,800.00,1304-12-17,Guard House - Aux (3C) (1000-GH-48),General / Air condition,Lack of Air condition installation,C,HV,HEC HV Construction,Mr. Jerzy Wegner,2023-01-25,2023-05-08,Walkdown,,,,SCAN CAT,V,,,,RFC/RFSU
.,27666,800.00,1304-12-17,Guard House - Aux (3C) (1000-GH-48),General / Ventilation system ,Lack of ventilation system,C,HV,HEC HV Construction,Mr. Jerzy Wegner,2023-01-25,2023-03-30,Walkdown,,,,SCAN CAT,V,,,,RFC/RFSU
.,27667,800.00,1304-12-17,Guard House - Aux (3C) (1000-GH-48),General / SD installation,Lack of HVAC equipment ,C,HV,HEC HV Construction,Mr. Jerzy Wegner,2023-01-25,2023-06-19,Walkdown,,,,SCAN CAT,V,,,,RFC/RFSU
.,28109,800.00,1304-12-17,Guard House - Aux (3C) (1000-GH-48),,The building is underconstruction. No AR works has been finished.,C,AR,HEC AR Construction,Mr. Andrzej Wójcikiewicz,2023-01-26,,Walkdown,,,,SCAN CAT,V,,,,RFC/RFSU
.,28169,800.00,1304-12-17,Guard House (1000-GH-48),"EGAT-HEC-900-ELE-DLP-01030,EGAT-HEC-1000-ELE-DLP-04007,05008","Normal and Emergency Lighting fixtures, Cable tray Installation to be complete and official inspection to be carried out.",C,EL,HEC EL Construction,Mr. Adam Siewiorek,2023-01-27,,Walkdown,,,,SCAN CAT,V,,,,RFC/RFSU
.,28170,800.00,1304-12-17,Guard House (1000-GH-48),"EGAT-HEC-900-ELE-DLP-01030,EGAT-HEC-1000-ELE-DLP-04007,05008","Tag no- 48-PDP-001, 002,003 and 48-ELP-001 Panel Installation to be done, ",C,EL,HEC EL Construction,Mr. Adam Siewiorek,2023-01-27,2023-05-16,Walkdown,,,,SCAN CAT,V,,,,RFC/RFSU
.,28171,800.00,1304-12-17,Guard House (1000-GH-48),"EGAT-HEC-900-ELE-DLP-01030,EGAT-HEC-1000-ELE-DLP-04007,05008",Cable pulling and Cable termination to be done and official inspection to be carried out.,C,EL,HEC EL Construction,Mr. Adam Siewiorek,2023-01-27,,Walkdown,,,,SCAN CAT,V,,,,RFC/RFSU
.,28172,800.00,1304-12-17,Guard House (1000-GH-48),"EGAT-HEC-900-ELE-DLP-01030,EGAT-HEC-1000-ELE-DLP-04007,05008","Socket Outlet, Escape Lighting, Exit Lighting, Canopy lighting to be installed and officially inspection to be carried out.",C,EL,HEC EL Construction,Mr. Adam Siewiorek,2023-01-27,,Walkdown,,,,SCAN CAT,V,,,,RFC/RFSU
.,28173,800.00,1304-12-17,Guard House (1000-GH-48),"EGAT-HEC-900-ELE-DLP-01030,EGAT-HEC-1000-ELE-DLP-04007,05008",Lighting (48-ELP-001/12) on the roof to be installed and oficial inspection to be done.,C,EL,HEC EL Construction,Mr. Adam Siewiorek,2023-01-27,,Walkdown,,,,SCAN CAT,V,,,,RFC/RFSU
.,28174,800.00,1304-12-17,Guard House (1000-GH-48),"EGAT-HEC-900-ELE-DLP-01030,EGAT-HEC-1000-ELE-DLP-04007,05008","Earthing for the Door frame, Monkey ladder, HVAC Fans(1000-GH48-ACCU-0001A/B, 0002, 0003,0004,0005&0006) to be connected and oficial inspection to be carried out.",C,EL,HEC EL Construction,Mr. Adam Siewiorek,2023-01-27,,Walkdown,,,,SCAN CAT,V,,,,RFC/RFSU
